global_step,eval_batch_idx,sample_batch_index,sample_token_index,token_id,token_char,head_0_activation,head_1_activation,head_2_activation,head_3_activation,cosine_head_0_1,cosine_head_0_2,cosine_head_0_3,cosine_head_1_2,cosine_head_1_3,cosine_head_2_3
0,0,15,20,58,t,0.17951280 -0.11676619 0.05244437 -0.13651103 -0.21020751 0.15043743 0.38718873 -0.17332780 0.28206554 -0.21243317 0.09367911 -0.01994770 0.25354975 0.11728620 0.18912612 -0.04697309,-0.08954248 -0.52404046 0.01949458 0.00304707 0.23609459 0.03689504 -0.08401530 0.29439169 0.28861806 -0.28189969 0.08512507 0.25776559 0.18705782 0.26373205 0.38120976 -0.00617720,0.35332602 0.15540026 0.15110311 -0.21121562 0.17313778 0.07775699 0.24416567 0.19524255 -0.25128710 -0.05965226 0.38127950 0.21511810 -0.02470234 -0.27350152 -0.16842902 0.19760017,-0.04899466 -0.27631420 0.17457037 0.23343481 -0.00357144 0.07609326 -0.22029774 0.03270207 0.22634469 0.16750452 -0.00235832 0.01367770 -0.21783607 0.01816052 -0.08337978 0.25425184,0.29563528299331665,0.0180986151099205,-0.26994794607162476,-0.16842016577720642,0.21851417422294617,-0.22378554940223694
0,1,13,29,58,t,0.04023890 -0.14210880 -0.12811309 -0.14155298 -0.08753947 0.11110839 0.18599866 -0.12755513 0.27901822 -0.12593280 0.14716616 0.14581940 -0.02058264 0.09111336 0.15772946 0.05280377,-0.04311760 -0.30725619 0.13210869 -0.02334346 0.07392329 0.00124135 0.05858223 0.32178599 0.06725866 0.10060421 0.06641182 0.18489353 -0.01891482 0.13036336 0.22032182 0.06054121,0.12912340 0.11381959 -0.04973745 -0.10085472 0.06214007 0.02653130 0.23522593 0.10430241 -0.12785031 0.03917531 0.03295207 0.01323743 -0.07905769 -0.19675885 -0.13107646 0.11962213,-0.05450841 -0.19483742 0.00895007 0.09228697 0.08442663 0.00408194 -0.30609140 0.00297385 0.10224661 0.08609108 0.03800416 0.03086825 -0.00460235 -0.01627735 -0.02562756 0.24535976,0.2611677050590515,-0.10697388648986816,-0.0667237788438797,-0.14293934404850006,0.28619498014450073,-0.3504426181316376
0,2,45,11,46,h,0.19667329 -0.12978137 0.09756607 0.02824751 -0.35063872 0.14470257 0.25901663 -0.37068164 0.20276418 -0.51187056 0.21648709 0.00486758 0.42052221 0.15387787 -0.00804120 -0.07978610,-0.25590599 -0.66010916 0.14315915 -0.07854360 0.13609926 0.36160800 0.08575508 0.26282918 0.11756627 0.26707128 -0.01021952 0.12374878 0.00409602 0.17291068 0.17933263 0.06401340,0.39570981 -0.10035210 -0.05584153 -0.43674573 0.13914646 -0.28056729 0.22582382 0.21784066 -0.17454803 -0.11255968 -0.00314547 0.03064994 -0.03954673 -0.32676196 -0.30629903 -0.22935341,0.01590429 -0.11973745 0.04070783 0.14658976 0.02987039 -0.07703344 -0.45116401 -0.02225147 0.12235045 -0.13357516 -0.02516128 -0.02617005 -0.03335469 0.24679904 -0.09169772 0.25850007,-0.12292733043432236,-0.06914344429969788,-0.018446605652570724,-0.21141597628593445,0.031082633882761,-0.411167174577713
0,3,63,30,1, ,0.16269466 -0.17542255 -0.12687320 -0.31613103 -0.21984634 0.13735981 0.34952450 -0.08128826 0.32705772 -0.10996570 0.13550071 0.19551542 0.10322864 0.10198746 0.22124927 0.07886197,0.02393679 -0.49279916 0.10128732 0.05838259 0.12439395 0.04290770 0.04161636 0.35072190 0.16859549 -0.16308388 0.12000121 0.19769341 0.06495411 0.21603703 0.35893306 -0.01793383,0.25655672 0.25412440 0.08377407 -0.22249167 0.26372954 -0.17440179 0.19302881 -0.02820621 -0.18125018 -0.02171925 0.09520841 0.18793865 -0.02716751 -0.14059037 -0.06375768 0.15325485,-0.23228274 -0.20820898 0.13659424 -0.01482395 -0.03284300 0.04222579 -0.08909398 0.08456329 0.39926723 0.25076398 -0.09957390 -0.05338145 -0.04827389 0.01846812 -0.19036499 0.23871821,0.39528194069862366,0.034560367465019226,0.02564251609146595,-0.24489110708236694,0.11644238233566284,-0.4002698063850403
0,4,36,24,51,m,0.10093500 -0.15328044 -0.11472429 -0.11928794 -0.35994524 0.18028571 0.21464944 -0.17674106 0.18504745 -0.15736447 0.21183375 -0.02573625 0.01657822 0.01079171 0.26620913 -0.07466997,0.06456657 -0.54384440 0.20898536 -0.09651596 0.35028028 0.32712677 0.17913997 0.26075014 0.19553411 -0.05629128 0.13476767 0.25031772 -0.08606465 0.30058482 0.41721207 0.05842869,0.26258564 0.00267342 0.09276041 -0.29122657 0.25713789 -0.19601671 0.26925024 -0.01000423 -0.17622346 -0.13934718 0.26823694 0.03212679 0.00083403 -0.42251381 -0.13050890 0.20257781,-0.28247973 -0.39056185 0.09636718 -0.07040718 0.12990372 0.15355067 -0.11201808 0.03791495 0.12069649 0.10754558 -0.32970777 -0.07063707 -0.12668687 -0.08911575 -0.12546809 0.31880501,0.24721011519432068,-0.04692142456769943,-0.2718920111656189,-0.02017974480986595,0.2679359018802643,-0.12765927612781525
0,5,22,21,44,f,0.19995099 -0.14684916 0.06340002 -0.14481667 -0.23743667 0.25730076 0.26524538 -0.16753465 0.23842865 -0.26854551 0.29278287 0.10634340 0.06328946 0.00850057 0.14821358 -0.19540295,-0.12907375 -0.47444367 0.27171236 -0.02709630 0.21107703 0.19609797 0.14229462 0.31097394 0.23399720 -0.11635065 0.13278177 0.25122842 -0.02229236 0.32260364 0.42457515 -0.05892536,0.35677969 0.11410613 0.14631684 -0.34285539 0.20235640 -0.21036911 0.24467589 -0.01550076 -0.09406487 0.00250394 0.14403334 0.22856528 -0.09823393 -0.33354437 -0.12116338 0.08744842,-0.02789761 -0.24892741 0.17919378 -0.01504178 0.00522203 0.00008662 -0.29790211 0.08131468 0.26335964 0.22409402 -0.00453912 0.00525945 -0.01986240 -0.02493231 -0.07553261 0.27563721,0.37006089091300964,0.1253424882888794,-0.23531493544578552,-0.16192369163036346,0.22086547315120697,-0.11923839151859283
0,6,4,29,1, ,0.19002792 -0.15555617 0.06543784 -0.15499805 -0.30058372 0.32224247 0.16230491 -0.19465616 0.22121742 -0.11406434 0.14677998 0.06549027 0.05885697 -0.10277890 0.22793923 -0.17846537,0.03765982 -0.36042735 0.03025593 -0.07901989 0.27474558 -0.08282102 0.05478921 0.29732937 0.22572549 -0.07012562 -0.04973973 0.20369247 -0.06923415 0.29955873 0.19855022 0.10297694,0.27746060 0.11371123 0.01356709 -0.21722560 0.13582137 -0.16931383 0.28508762 -0.03007449 -0.14420077 0.05264438 0.06461032 0.01158322 -0.04872626 -0.14040382 -0.00555727 0.03233628,-0.26889208 -0.21818769 0.11939849 -0.03674639 -0.09697991 0.07098622 -0.06139552 -0.05614510 0.16305500 0.08789472 -0.11970096 -0.05380049 -0.07650243 0.07022461 -0.01486591 0.19600050,-0.0455775111913681,0.007770641706883907,0.011348053812980652,-0.06777691096067429,0.24192656576633453,-0.5513309836387634
0,7,52,8,53,o,0.10869712 0.01760899 -0.14500538 -0.47552592 -0.46828684 -0.06768765 0.32978010 -0.03931847 0.21107516 -0.07225762 0.12958959 0.14557911 0.13879234 -0.06487831 0.13378926 0.18643393,-0.12360559 -0.79848713 0.10241428 0.23833181 0.20498857 -0.18812333 0.08686140 0.62369734 0.13947868 -0.07060939 0.06118408 0.33599973 -0.19730429 0.13807981 0.15705606 0.01277381,0.05703249 0.16377041 0.32704327 -0.17262381 0.31704533 -0.11385957 0.02304643 0.21333501 -0.41190824 -0.16828042 0.10549322 0.17587987 -0.09983547 -0.09219258 -0.29440835 0.18862958,-0.01692187 -0.10085705 0.03681897 0.02943369 -0.10054075 -0.13700728 -0.18825938 0.17124173 0.44456184 0.35048810 0.15972391 0.01023909 0.00176504 0.02455947 -0.15776676 0.05416124,-0.15090234577655792,-0.1986972540616989,0.07113771140575409,0.059041403234004974,0.26455527544021606,-0.28095683455467224
0,8,9,23,33,U,0.18128353 -0.16481869 -0.04075921 -0.16929922 -0.28828046 0.20834635 0.25257903 -0.16507328 0.01745650 -0.22000794 0.33693302 0.03016339 0.08858129 -0.02807287 0.33089939 -0.07078779,0.04121787 -0.39604604 0.09138277 -0.08020473 0.21474141 0.13306175 0.04721969 0.28915042 0.29795301 -0.09777482 0.08082666 0.17630459 -0.03624635 0.23533939 0.43400434 -0.05527381,0.23332702 0.15309834 0.12254888 -0.10451110 0.15874039 -0.10473005 0.16516317 0.11896203 -0.16694681 0.07549532 0.13364096 0.30116791 -0.28186467 -0.19915077 -0.24595846 0.15375398,-0.14703417 -0.33041927 0.08828509 -0.19810209 -0.05146481 0.17191699 -0.01314895 0.07280387 0.06533942 -0.01872069 -0.19026007 -0.07985014 0.08698521 0.03220085 -0.02276044 0.13212736,0.3233475089073181,-0.16586658358573914,0.05239453166723251,-0.18713192641735077,0.35399329662323,-0.358293741941452
0,9,38,10,57,s,0.08387724 -0.20776653 0.06434510 0.14128983 -0.29474553 0.15246032 0.02283957 -0.20529564 0.31449452 -0.20063791 0.18176457 0.01522725 0.22964783 -0.01195408 0.32302272 -0.09351284,0.02043686 -0.63072360 0.07305451 -0.02886674 0.27340350 -0.13067687 -0.31129172 0.42292306 0.25729844 0.13009816 -0.04070700 0.25038311 -0.02675455 0.39274731 0.30498761 0.00548406,0.46491241 -0.04382655 -0.21314518 -0.23960826 0.18112089 0.15368286 0.15527728 0.01712338 -0.26723507 -0.02404691 0.18458600 -0.00950585 -0.15530099 -0.06481922 -0.30391476 0.23616454,-0.03323362 -0.10857587 0.15863153 0.20788714 0.02925456 -0.10468607 -0.20859151 0.10189430 0.18344806 -0.12158936 0.04080766 0.02063586 -0.15441114 0.06328887 0.04548034 0.20400451,0.09517673403024673,-0.370282918214798,0.14947232604026794,-0.19874565303325653,0.5030947923660278,-0.2803103029727936
